year,decade,unique_words,density,unique_words_raw,density_raw,nouns,verbs,adjectives,syllables,most_used_term,most_used_freq,curses,total_curses,reading_score,sentiment,charted
1964,1960,38,125,72,281,51,55,18,74,know,8,0,0,2.97747330961,0.9874,1
1964,1960,28,77,55,240,37,40,17,62,thinkin,7,0,0,2.13833333333,0.9973,1
1964,1960,40,100,64,240,22,84,11,78,walk,21,0,0,2.925,-0.9475,1
1964,1960,37,79,60,231,20,91,13,70,know,16,0,0,2.27575757576,0.9977,1
1964,1960,25,69,45,121,20,21,13,52,peopl,16,0,0,1.82107438017,0.9022,1
1964,1960,29,83,57,170,50,29,17,64,babi,15,0,0,1.97235294118,0.9186,1
1964,1960,15,41,31,115,20,18,9,31,smile,9,0,0,-0.459130434783,0.9833,1
1964,1960,53,71,86,152,33,38,12,94,love,5,0,0,4.43736842105,0.986,1
1964,1960,32,83,44,142,48,30,18,48,put,8,0,0,1.12873239437,-0.8807,1
1964,1960,35,73,58,151,28,49,8,67,love,6,0,0,2.3757615894,0.9856,1
1964,1960,38,75,63,150,28,42,9,72,keep,10,0,0,2.804,0.9862,1
1964,1960,32,58,58,108,32,16,16,63,rag,10,0,0,3.24333333333,0.9136,1
1964,1960,23,134,37,263,74,48,18,36,come,20,0,0,1.09520912548,0.9118,1
1964,1960,58,135,92,275,80,38,17,99,music,11,0,0,3.728,0.9628,1
1964,1960,39,111,62,198,71,31,12,67,rock,15,0,0,1.91292929293,-0.9386,0
1964,1960,44,117,79,264,72,83,12,86,dum,11,0,0,3.32393939394,0.9894,1
1964,1960,62,136,95,269,53,62,30,100,la,14,0,0,3.86661710037,0.9823,1
1964,1960,56,241,82,322,105,99,24,91,get,48,0,0,3.9847826087,0.9657,1
1964,1960,12,53,20,112,17,54,6,20,love,24,0,0,-1.53285714286,0.999,1
1964,1960,49,150,77,288,67,90,8,75,time,27,0,0,2.94291666667,0.9946,0
1964,1960,21,53,42,148,22,31,12,43,heart,6,0,0,0.568378378378,0.8074,1
1964,1960,25,71,44,145,20,38,15,46,know,6,0,0,0.883448275862,0.9716,1
1964,1960,35,52,58,92,22,23,7,65,love,5,0,0,4.30695652174,0.9872,1
1964,1960,93,151,133,320,63,77,45,147,memphi,27,1,13,6.070625,-0.9968,1
1964,1960,33,75,57,140,23,24,13,56,still,6,0,0,1.86,0.7299,1
1964,1960,64,83,100,174,40,40,27,121,blue,7,0,0,5.73574712644,0.9042,1
1964,1960,48,92,83,183,48,33,12,88,rememb,12,0,0,3.59431693989,0.9686,0
1964,1960,52,132,87,355,59,89,23,97,way,16,0,0,4.26422535211,0.979,1
1965,1960,41,168,67,281,70,47,52,71,ooh,40,0,0,2.85149466192,0.9941,1
1965,1960,53,128,85,267,81,47,8,91,shake,29,0,0,3.50172284644,-0.1779,1
1965,1960,33,65,59,121,40,38,6,68,babi,16,0,0,3.38140495868,0.3612,1
1965,1960,56,95,89,275,40,65,15,97,love,7,0,0,3.64218181818,0.984,1
1965,1960,44,101,79,266,39,72,23,89,babi,14,0,0,3.42812030075,0.9986,1
1965,1960,51,121,82,258,62,53,33,91,song,12,0,0,3.25201550388,0.9509,1
1965,1960,55,105,89,247,32,81,16,94,would,15,0,0,3.58068825911,0.9871,1
1965,1960,45,133,77,297,72,70,13,87,love,13,0,0,3.32656565657,0.9944,1
1965,1960,28,69,48,135,25,23,31,54,blue,7,0,0,1.47,0.9648,1
1965,1960,35,82,59,141,50,30,3,62,must,13,1,1,2.32865248227,0.8934,1
1965,1960,39,113,65,235,52,57,9,65,babi,21,0,0,1.96382978723,0.9886,1
1965,1960,44,71,72,154,31,26,21,73,mani,10,0,0,2.73350649351,0.9287,1
1965,1960,54,185,94,395,97,58,22,102,love,9,0,0,4.86708860759,0.9933,1
1965,1960,39,64,69,152,26,36,8,66,search,6,0,0,2.26368421053,0.959,1
1965,1960,38,56,69,114,30,26,12,72,candi,10,0,0,3.81263157895,0.9118,1
1965,1960,28,74,50,178,25,38,21,52,love,12,0,0,0.977191011236,0.9971,1
1965,1960,41,109,61,175,52,28,21,70,girl,20,0,0,2.25,0.8979,1
1965,1960,22,57,39,138,19,53,5,46,got,15,0,0,0.683333333333,-0.4939,1
1965,1960,66,80,104,175,31,41,12,121,heart,3,0,0,5.68885714286,-0.0305,1
1965,1960,32,53,61,136,17,33,10,65,tell,4,0,0,2.38970588235,-0.4939,1
1965,1960,57,95,92,259,48,58,16,102,street,9,0,0,3.7371042471,0.9477,0
1965,1960,59,105,98,244,29,54,22,105,place,8,0,0,4.16786885246,0.9702,1
1965,1960,40,77,63,136,35,28,14,68,hush,12,0,0,2.65,0.9886,1
1965,1960,36,93,59,201,59,10,17,60,bout,6,0,0,1.8323880597,0.9643,1
1965,1960,30,94,52,213,34,54,18,51,thing,12,0,0,1.13535211268,0.996,1
1965,1960,79,150,128,329,70,64,31,153,woman,8,0,0,6.13753799392,0.989,1
1965,1960,36,93,57,169,33,38,25,61,hey,8,0,0,1.78917159763,0.9953,1
1965,1960,26,70,46,173,21,50,4,51,love,21,0,0,1.00861271676,0.999,1
1965,1960,31,53,45,100,23,24,9,56,would,9,0,0,2.968,0.9118,0
1965,1960,69,125,108,260,71,49,18,119,downtown,28,0,0,4.88076923077,0.9814,1
1965,1960,67,208,108,448,96,115,27,113,yeah,21,0,0,5.96633928571,0.9949,1
1965,1960,41,115,71,277,58,79,17,73,help,17,0,0,2.58974729242,0.992,1
1965,1960,34,64,54,139,8,50,20,54,caus,6,0,0,1.33417266187,0.9571,1
1965,1960,75,137,121,312,58,86,17,138,laugh,12,0,0,5.47923076923,0.991,1
1965,1960,51,79,87,183,47,37,4,94,alon,6,0,0,3.98120218579,0.9556,1
1965,1960,13,60,34,173,30,53,4,32,wait,18,0,0,-0.287341040462,0.34,1
1966,1960,43,97,76,204,52,53,6,77,love,11,0,0,2.76392156863,0.9964,1
1966,1960,51,98,85,208,43,44,20,92,stop,7,0,0,3.52923076923,0.9371,1
1966,1960,45,116,74,264,34,52,22,82,wo,16,0,0,3.14515151515,0.9959,1
1966,1960,47,70,83,210,31,38,11,87,put,4,0,0,3.19857142857,-0.296,1
1966,1960,19,92,30,174,72,16,6,29,babi,25,0,0,-0.503333333333,0.0,1
1966,1960,62,80,91,173,50,20,10,113,pattern,6,0,0,5.23751445087,-0.4404,0
1966,1960,22,48,24,52,32,1,4,28,de,8,0,0,5.83384615385,0.0,1
1966,1960,68,128,106,283,65,54,14,102,babi,13,0,0,4.12300353357,0.9921,1
1966,1960,52,85,76,169,37,28,25,82,sunni,14,0,0,3.25544378698,0.9964,1
1966,1960,43,63,73,123,30,31,8,78,come,6,0,0,4.23292682927,0.7906,1
1966,1960,41,172,67,312,60,83,47,72,come,30,0,0,2.98307692308,0.9954,1
1966,1960,48,114,73,224,58,44,10,75,got,14,0,0,2.65089285714,0.9834,1
1966,1960,63,165,96,346,49,116,20,107,love,17,0,0,4.68913294798,0.9984,1
1966,1960,39,59,58,135,27,33,3,61,would,10,0,0,2.08185185185,0.9678,1
1966,1960,24,71,36,160,41,40,19,41,law,24,0,0,0.55375,-0.9001,1
1966,1960,48,104,78,214,41,53,13,80,time,9,0,0,2.72121495327,0.9837,1
1966,1960,45,90,73,173,46,37,6,88,without,12,0,0,3.53231213873,-0.9313,1
1966,1960,56,71,92,192,90,28,10,111,babi,7,0,0,4.741875,0.9678,1
1966,1960,50,145,84,339,88,74,27,85,go,13,0,0,3.6087020649,0.9972,1
1966,1960,39,57,70,114,35,21,9,80,scratch,6,0,0,4.64070175439,0.875,1
1966,1960,27,122,43,218,44,46,42,57,free,26,0,0,1.39532110092,0.9982,1
1966,1960,39,89,67,174,45,32,11,74,night,11,0,0,2.5483908046,0.9871,1
1966,1960,53,96,91,224,36,73,14,100,gonna,5,0,0,3.96785714286,0.8779,1
1966,1960,38,71,63,155,37,45,2,62,home,10,0,0,1.86,-0.5106,0
1966,1960,57,63,88,154,33,41,9,92,would,2,0,0,4.18935064935,0.6454,0
1966,1960,30,35,53,92,18,16,5,53,mind,3,1,1,2.76782608696,0.9336,0
1966,1960,53,96,91,285,36,69,27,95,cool,18,0,0,3.80333333333,0.9911,1
1966,1960,56,99,90,173,60,21,8,95,away,9,0,0,4.00976878613,0.9337,1
1966,1960,42,100,66,185,32,26,37,70,yellow,26,0,0,2.38486486486,0.6908,1
1966,1960,27,50,45,89,13,30,6,45,get,5,0,0,1.93629213483,0.9442,1
1966,1960,53,85,97,202,32,32,16,97,side,6,0,0,3.97633663366,0.4215,1
1966,1960,41,83,66,153,28,39,14,74,love,10,0,0,2.84718954248,0.9961,1
1966,1960,44,78,73,174,51,29,8,84,writer,25,0,0,3.22655172414,0.8316,1
1966,1960,33,81,59,178,51,35,4,60,nowher,14,0,0,1.50752808989,0.5574,1
1966,1960,43,134,75,250,79,65,8,84,go,20,0,0,3.0548,-0.8555,1
1966,1960,51,134,79,298,90,46,10,87,citi,12,0,0,3.31496644295,0.765,1
1966,1960,41,219,71,420,81,77,63,79,good,56,0,0,4.81952380952,0.9994,1
1966,1960,42,97,85,225,52,40,27,90,call,9,0,0,3.42,0.9955,1
1966,1960,52,209,78,297,95,50,56,86,ba,53,0,0,3.28683501684,0.9776,1
